order_id,date,region,product,sales_channel,customer_segment,units_sold,unit_price,discount_pct,revenue,cost,profit
ORD-0001,2026-01-01,North,Laptop,Online,Consumer,12,1099.00,0,13188.00,8176.56,5011.44
ORD-0002,2026-01-02,South,Headphones,Retail,Corporate,19,129.00,5,2328.45,1519.62,808.83
ORD-0003,2026-01-03,East,Monitor,Partner,Home Office,26,299.00,10,6996.60,4819.88,2176.72
ORD-0004,2026-01-04,West,Keyboard,Online,Small Business,33,79.00,15,2215.95,1616.34,599.61
ORD-0005,2026-01-05,North,Mouse,Retail,Consumer,40,39.00,0,1560.00,967.20,592.80
ORD-0006,2026-01-06,South,Tablet,Partner,Corporate,47,499.00,5,22280.35,14540.86,7739.49
ORD-0007,2026-01-07,East,Webcam,Online,Home Office,54,89.00,10,4325.40,2979.72,1345.68
ORD-0008,2026-01-08,West,Smartphone,Retail,Small Business,61,899.00,15,46613.15,34000.18,12612.97
ORD-0009,2026-01-09,North,Laptop,Partner,Consumer,68,1099.00,0,74732.00,46333.84,28398.16
ORD-0010,2026-01-10,South,Headphones,Online,Corporate,75,129.00,5,9191.25,5998.50,3192.75
ORD-0011,2026-01-11,East,Monitor,Retail,Home Office,17,299.00,10,4574.70,3151.46,1423.24
ORD-0012,2026-01-12,West,Keyboard,Partner,Small Business,24,79.00,15,1611.60,1175.52,436.08
ORD-0013,2026-01-13,North,Mouse,Online,Consumer,31,39.00,0,1209.00,749.58,459.42
ORD-0014,2026-01-14,South,Tablet,Retail,Corporate,38,499.00,5,18013.90,11756.44,6257.46
ORD-0015,2026-01-15,East,Webcam,Partner,Home Office,45,89.00,10,3604.50,2483.10,1121.40
ORD-0016,2026-01-16,West,Smartphone,Online,Small Business,52,899.00,15,39735.80,28983.76,10752.04
ORD-0017,2026-01-17,North,Laptop,Retail,Consumer,59,1099.00,0,64841.00,40201.42,24639.58
ORD-0018,2026-01-18,South,Headphones,Partner,Corporate,66,129.00,5,8088.30,5278.68,2809.62
ORD-0019,2026-01-19,East,Monitor,Online,Home Office,73,299.00,10,19644.30,13532.74,6111.56
ORD-0020,2026-01-20,West,Keyboard,Retail,Small Business,15,79.00,15,1007.25,734.70,272.55
ORD-0021,2026-01-21,North,Mouse,Partner,Consumer,22,39.00,0,858.00,531.96,326.04
ORD-0022,2026-01-22,South,Tablet,Online,Corporate,29,499.00,5,13747.45,8972.02,4775.43
ORD-0023,2026-01-23,East,Webcam,Retail,Home Office,36,89.00,10,2883.60,1986.48,897.12
ORD-0024,2026-01-24,West,Smartphone,Partner,Small Business,43,899.00,15,32858.45,23967.34,8891.11
ORD-0025,2026-01-25,North,Laptop,Online,Consumer,50,1099.00,0,54950.00,34069.00,20881.00
ORD-0026,2026-01-26,South,Headphones,Retail,Corporate,57,129.00,5,6985.35,4558.86,2426.49
ORD-0027,2026-01-27,East,Monitor,Partner,Home Office,64,299.00,10,17222.40,11864.32,5358.08
ORD-0028,2026-01-28,West,Keyboard,Online,Small Business,71,79.00,15,4767.65,3477.58,1290.07
ORD-0029,2026-01-29,North,Mouse,Retail,Consumer,13,39.00,0,507.00,314.34,192.66
ORD-0030,2026-01-30,South,Tablet,Partner,Corporate,20,499.00,5,9481.00,6187.60,3293.40
ORD-0031,2026-01-31,East,Webcam,Online,Home Office,27,89.00,10,2162.70,1489.86,672.84
ORD-0032,2026-02-01,West,Smartphone,Retail,Small Business,34,899.00,15,25981.10,18950.92,7030.18
ORD-0033,2026-02-02,North,Laptop,Partner,Consumer,41,1099.00,0,45059.00,27936.58,17122.42
ORD-0034,2026-02-03,South,Headphones,Online,Corporate,48,129.00,5,5882.40,3839.04,2043.36
ORD-0035,2026-02-04,East,Monitor,Retail,Home Office,55,299.00,10,14800.50,10195.90,4604.60
ORD-0036,2026-02-05,West,Keyboard,Partner,Small Business,62,79.00,15,4163.30,3036.76,1126.54
ORD-0037,2026-02-06,North,Mouse,Online,Consumer,69,39.00,0,2691.00,1668.42,1022.58
ORD-0038,2026-02-07,South,Tablet,Retail,Corporate,76,499.00,5,36027.80,23512.88,12514.92
ORD-0039,2026-02-08,East,Webcam,Partner,Home Office,18,89.00,10,1441.80,993.24,448.56
ORD-0040,2026-02-09,West,Smartphone,Online,Small Business,25,899.00,15,19103.75,13934.50,5169.25
ORD-0041,2026-02-10,North,Laptop,Retail,Consumer,32,1099.00,0,35168.00,21804.16,13363.84
ORD-0042,2026-02-11,South,Headphones,Partner,Corporate,39,129.00,5,4779.45,3119.22,1660.23
ORD-0043,2026-02-12,East,Monitor,Online,Home Office,46,299.00,10,12378.60,8527.48,3851.12
ORD-0044,2026-02-13,West,Keyboard,Retail,Small Business,53,79.00,15,3558.95,2595.94,963.01
ORD-0045,2026-02-14,North,Mouse,Partner,Consumer,60,39.00,0,2340.00,1450.80,889.20
ORD-0046,2026-02-15,South,Tablet,Online,Corporate,67,499.00,5,31761.35,20728.46,11032.89
ORD-0047,2026-02-16,East,Webcam,Retail,Home Office,74,89.00,10,5927.40,4083.32,1844.08
ORD-0048,2026-02-17,West,Smartphone,Partner,Small Business,16,899.00,15,12226.40,8918.08,3308.32
ORD-0049,2026-02-18,North,Laptop,Online,Consumer,23,1099.00,0,25277.00,15671.74,9605.26
ORD-0050,2026-02-19,South,Headphones,Retail,Corporate,30,129.00,5,3676.50,2399.40,1277.10
ORD-0051,2026-02-20,East,Monitor,Partner,Home Office,37,299.00,10,9956.70,6859.06,3097.64
ORD-0052,2026-02-21,West,Keyboard,Online,Small Business,44,79.00,15,2954.60,2155.12,799.48
ORD-0053,2026-02-22,North,Mouse,Retail,Consumer,51,39.00,0,1989.00,1233.18,755.82
